player_name,bet365_odds
Scottie Scheffler,4.5
Collin Morikawa,11.0
Russell Henley,23.0
Corey Conners,23.0
Ludvig Aberg,12.0
Patrick Cantlay,17.0
Tommy Fleetwood,29.0
Justin Thomas,17.0
Aaron Rai,41.0
Shane Lowry,23.0
Xander Schauffele,12.0
Daniel Berger,41.0
Robert MacIntyre,46.0
Sepp Straka,41.0
Sungjae Im,34.0
Denny McCarthy,51.0
Jason Day,41.0
J.T. Poston,51.0
Viktor Hovland,31.0
J.J. Spaun,61.0
Maverick McNealy,51.0
Jordan Spieth,34.0
Akshay Bhatia,61.0
Lucas Glover,91.0
Davis Thompson,67.0
Will Zalatoris,81.0
Keegan Bradley,67.0
Harris English,71.0
Michael Kim,67.0
Wyndham Clark,51.0
Brian Harman,67.0
Si Woo Kim,67.0
Justin Rose,67.0
Bud Cauley,67.0
Nick Taylor,126.0
Taylor Pendrith,81.0
Byeong Hun An,67.0
Jacob Bridgeman,126.0
Tony Finau,81.0
Billy Horschel,101.0
Min Woo Lee,51.0
Tom Hoge,81.0
Andrew Novak,126.0
Joe Highsmith,151.0
Sahith Theegala,71.0
Sam Burns,81.0
Matt Fitzpatrick,71.0
Matt Kuchar,176.0
Thomas Detry,126.0
Christiaan Bezuidenhout,176.0
Mackenzie Hughes,126.0
Ryan Gerard,151.0
Rickie Fowler,126.0
Brian Campbell,251.0
Ryo Hisatsune,176.0
Austin Eckroat,226.0
Stephan Jaeger,126.0
Chris Kirk,251.0
Sam Stevens,151.0
Max Greyserman,151.0
Adam Scott,151.0
Patrick Rodgers,126.0
Eric Cole,151.0
Cam Davis,251.0
Gary Woodland,151.0
Max Homa,101.0
Cameron Young,201.0
Sami Valimaki,301.0
Adam Hadwin,301.0
Matthieu Pavon,751.0
Karl Vilips,401.0
Nick Dunlap,401.0
